Key,en,es,ar
Activation Settings,Activation Settings,Configuración de activación,إعدادات التنشيط
User Registration,User Registration,Registro de usuario,تسجيل المستخدم
Activated,Activated,Activado,تفعيلها
Deactivated,Deactivated,Desactivado,معطل
Secure Password,Secure Password,Contraseña segura,كلمة مرور آمنة
Agree Policy,Agree Policy,Política de acuerdo,الموافقة على السياسة
Force SSL,Force SSL,Forzar SSL,فرض SSL
Email Notification,Email Notification,Notificación por correo electrónico,إشعار البريد الإلكتروني
The base color field is required.,The base color field is required.,El campo de color base es obligatorio.,حقل اللون الأساسي مطلوب.
The site name field is required.,The site name field is required.,El campo del nombre del sitio es obligatorio.,حقل اسم الموقع مطلوب.
The web version field is required.,The web version field is required.,El campo de versión web es obligatorio.,حقل إصدار الويب مطلوب.
The site title field is required.,The site title field is required.,El campo del título del sitio es obligatorio.,حقل عنوان الموقع مطلوب.
The otp exp seconds field is required.,The otp exp seconds field is required.,El campo segundos de exp otp es obligatorio.,حقل ثواني otp مطلوب.
The timezone field is required.,The timezone field is required.,El campo de zona horaria es obligatorio.,حقل المنطقة الزمنية مطلوب.
Basic settings not found!,Basic settings not found!,¡No se encontraron configuraciones básicas!,لم يتم العثور على الإعدادات الأساسية!
Basic settings updated successfully!,Basic settings updated successfully!,¡La configuración básica se actualizó correctamente!,تم تحديث الإعدادات الأساسية بنجاح!
You have to configure your system mail first.,You have to configure your system mail first.,Primero debe configurar el correo de su sistema.,يجب عليك تكوين بريد النظام الخاص بك أولاً.
Please setup KYC field first. Go to [Setup KYC] page from sidebar,Please setup KYC field first. Go to [Setup KYC] page from sidebar,Primero configure el campo KYC. Vaya a la página [Configurar KYC] desde la barra lateral,يرجى إعداد حقل KYC أولاً. انتقل إلى صفحة [Setup KYC] من الشريط الجانبي
Basic settings status updated successfully!,Basic settings status updated successfully!,¡El estado de la configuración básica se actualizó correctamente!,تم تحديث حالة الإعدادات الأساسية بنجاح!
Seconds,Seconds,Artículos de segunda clase,ثواني
Logo (Light Version),Logo (Light Version),Logotipo (versión ligera),الشعار (النسخة الخفيفة)
Logo (Dark Version),Logo (Dark Version),Logotipo (versión oscura),الشعار (الإصدار الداكن)
Favicon (Light Version),Favicon (Light Version),Favicon (versión ligera),الأيقونة المفضلة (الإصدار الخفيف)
Favicon (Dark Version),Favicon (Dark Version),Favicon (versión oscura),الأيقونة المفضلة (الإصدار الداكن)
Search Engine Optimization (SEO),Search Engine Optimization (SEO),Optimización de motores de búsqueda (SEO),تحسين محركات البحث (SEO)
Image assets updated successfully!,Image assets updated successfully!,¡Los recursos de imagen se actualizaron correctamente!,تم تحديث أصول الصورة بنجاح!
Thumbnail Image,Thumbnail Image,Imagen en miniatura,صورة مصغرة
Social Title,Social Title,Título social,العنوان الاجتماعي
Social Description,Social Description,Descripción social,الوصف الاجتماعي
Tags,Tags,Etiquetas,العلامات
The title field is required.,The title field is required.,El campo del título es obligatorio.,حقل العنوان مطلوب.
SEO information updated successfully!,SEO information updated successfully!,¡Información SEO actualizada con éxito!,تم تحديث معلومات تحسين محركات البحث (SEO) بنجاح!
Image,Image,Imagen,صورة
App Version,App Version,Versión de la aplicación,إصدار التطبيق
The version field is required.,The version field is required.,El campo de versión es obligatorio.,حقل الإصدار مطلوب.
Splash screen updated successfully!,Splash screen updated successfully!,¡La pantalla de bienvenida se actualizó correctamente!,تم تحديث شاشة البداية بنجاح!
Sub Title,Sub Title,Subtítulo,العنوان الفرعي
Add New Screen,Add New Screen,Agregar nueva pantalla,إضافة شاشة جديدة
Edit Screen,Edit Screen,Editar pantalla,تحرير الشاشة
Onboard Screen Added Successfully!,Onboard Screen Added Successfully!,¡Pantalla integrada agregada con éxito!,تمت إضافة الشاشة على متن الطائرة بنجاح!
Onboard screen status updated successfully!,Onboard screen status updated successfully!,¡El estado de la pantalla integrada se actualizó correctamente!,تم تحديث حالة الشاشة على متن الطائرة بنجاح!
Onboard screen information updated successfully!,Onboard screen information updated successfully!,¡La información de la pantalla a bordo se actualizó exitosamente!,تم تحديث معلومات الشاشة الموجودة على اللوحة بنجاح!
Screen deleted successfully!,Screen deleted successfully!,¡Pantalla eliminada exitosamente!,تم حذف الشاشة بنجاح!
delete,delete,borrar,يمسح
this screen?,this screen?,esta pantalla?,هذه الشاشة؟
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة
Code,Code,Código,شفرة
Selectable,Selectable,Seleccionable,قابل للتحديد
Are you sure to delete this language?,Are you sure to delete this language?,¿Estás seguro de eliminar este idioma?,هل أنت متأكد من حذف هذه اللغة؟
Add Language,Add Language,Agregar idioma,إضافة لغة
Language Name,Language Name,Nombre del idioma,اسم اللغة
Language Code,Language Code,Código de idioma,رمز اللغة
LTR,LTR,LTR,لتر
RTL,RTL,RTL,من اليمين إلى اليسار
Select Language,Select Language,Seleccionar idioma,اختر اللغة
"Language File (.xlsx, .csv)","Language File (.xlsx, .csv)","Archivo de idioma (.xlsx, .csv)",ملف اللغة (.xlsx، .csv)
The code field is required.,The code field is required.,El campo del código es obligatorio.,حقل الرمز مطلوب.
The dir field is required.,The dir field is required.,El campo dir es obligatorio.,الحقل dir مطلوب.
Language created successfully!,Language created successfully!,¡Idioma creado exitosamente!,تم إنشاء اللغة بنجاح!
Language updated successfully!,Language updated successfully!,¡Idioma actualizado exitosamente!,تم تحديث اللغة بنجاح!
Language deleted successfully!,Language deleted successfully!,¡Idioma eliminado exitosamente!,تم حذف اللغة بنجاح!
Language status updated successfully!,Language status updated successfully!,¡El estado del idioma se actualizó exitosamente!,تم تحديث حالة اللغة بنجاح!
Language Information,Language Information,Información de idioma,معلومات اللغة
Language Keywords of English,Language Keywords of English,Palabras clave del idioma inglés,الكلمات الرئيسية للغة الإنجليزية
Edit Language,Edit Language,Editar idioma,تحرير اللغة
Import,Import,Importar,يستورد
Download,Download,Descargar,تحميل
Name,Name,Nombre,اسم
Email Send Method,Email Send Method,Método de envío de correo electrónico,طريقة إرسال البريد الإلكتروني
Select Method,Select Method,Seleccionar método,حدد الطريقة
SMTP,SMTP,SMTP,SMTP
Send Mail,Send Mail,Enviar correo,إرسال البريد
Host,Host,Anfitrión,يستضيف
Port,Port,Puerto,ميناء
Encryption,Encryption,Cifrado,التشفير
SSL,SSL,SSL,طبقة المقابس الآمنة
TLS,TLS,TLS,TLS
Mail From Address,Mail From Address,Correo desde la dirección,البريد من العنوان
Language switch successfully!,Language switch successfully!,¡Cambio de idioma exitoso!,تبديل اللغة بنجاح!
Send Test Mail,Send Test Mail,Enviar correo de prueba,إرسال بريد الاختبار
The method field is required.,The method field is required.,El campo del método es obligatorio.,حقل الطريقة مطلوب.
The host field is required.,The host field is required.,El campo de host es obligatorio.,الحقل المضيف مطلوب.
The port field is required.,The port field is required.,El campo del puerto es obligatorio.,حقل المنفذ مطلوب.
The encryption field is required.,The encryption field is required.,El campo de cifrado es obligatorio.,حقل التشفير مطلوب.
Information updated successfully!,Information updated successfully!,¡Información actualizada exitosamente!,تم تحديث المعلومات بنجاح!
Deactive,Deactive,Desactivado,غير نشط
KYC Data Form,KYC Data Form,Formulario de datos KYC,نموذج بيانات KYC
Field Name,Field Name,Nombre del campo,اسم الحقل
Field Types,Field Types,Tipos de campo,أنواع الحقول
Max File Size (mb),Max File Size (mb),Tamaño máximo de archivo (mb),الحد الأقصى لحجم الملف (ميجابايت)
File Extension,File Extension,Extensión de archivo,امتداد الملف
Options,Options,Opciones,خيارات
Min Character,Min Character,Carácter mínimo,حرف مين
Max Character,Max Character,Carácter máximo,شخصية ماكس
Field Necessity,Field Necessity,Necesidad de campo,ضرورة المجال
Required,Required,Requerido,مطلوب
Page Name,Page Name,Nombre de la página,اسم الصفحة
Disable,Disable,Desactivar,إبطال
KYC status updated successfully!,KYC status updated successfully!,¡El estado KYC se actualizó exitosamente!,تم تحديث حالة KYC بنجاح!
Setup Page status updated successfully!,Setup Page status updated successfully!,¡El estado de la página de configuración se actualizó exitosamente!,تم تحديث حالة صفحة الإعداد بنجاح!
Update Extension,Update Extension,Actualizar extensión,تحديث الامتداد
Instructions,Instructions,Instrucciones,تعليمات
Extension has been udpate successfully,Extension has been udpate successfully,La extensión se ha actualizado correctamente.,لقد تم تحديث الامتداد بنجاح
Extension status is updated successfully!,Extension status is updated successfully!,¡El estado de la extensión se actualizó correctamente!,تم تحديث حالة الامتداد بنجاح!
Extension is not found!,Extension is not found!,¡No se encuentra la extensión!,لم يتم العثور على التمديد!
Slug,Slug,Babosa,سبيكة
Add Link,Add Link,Agregar enlace,إضافة رابط
Content,Content,Contenido,محتوى
Use for make page link (URL),Use for make page link (URL),Úselo para crear un enlace a la página (URL),استخدم لإنشاء رابط الصفحة (URL)
Are you sure to delete this link?,Are you sure to delete this link?,¿Estás seguro de eliminar este enlace?,هل أنت متأكد من حذف هذا الرابط؟
Useful link added successfully!,Useful link added successfully!,¡Enlace útil agregado exitosamente!,تمت إضافة الرابط المفيد بنجاح!
Useful link updated successfully!,Useful link updated successfully!,¡Enlace útil actualizado exitosamente!,تم تحديث الرابط المفيد بنجاح!
Useful link deleted successfully!,Useful link deleted successfully!,¡Enlace útil eliminado exitosamente!,تم حذف الرابط المفيد بنجاح!
Useful link status updated successfully!,Useful link status updated successfully!,¡El estado del enlace útil se actualizó exitosamente!,تم تحديث حالة الرابط المفيد بنجاح!
Browser Push Notification Configuration,Browser Push Notification Configuration,Configuración de notificaciones push del navegador,تكوين إشعارات المتصفح
Instance ID,Instance ID,ID de instancia,معرف المثيل
Primary key,Primary key,clave primaria,المفتاح الأساسي
Broadcasting/ Internal Notification Configuration,Broadcasting/ Internal Notification Configuration,Configuración de transmisión/notificación interna,البث/تكوين الإخطار الداخلي
Method,Method,Método,طريقة
APP ID,APP ID,ID DE APLICACIÓN,معرف التطبيق
Secret key,Secret key,clave secreta,المفتاح السري
Cluster,Cluster,Grupo,تَجَمَّع
Notification Body,Notification Body,Organismo de notificación,هيئة الإخطار
Latest Notifications,Latest Notifications,Últimas notificaciones,أحدث الإخطارات
Body,Body,Cuerpo,جسم
Time,Time,Tiempo,وقت
Sorry! You have to configure first to send push notification.,Sorry! You have to configure first to send push notification.,¡Lo siento! Primero debe configurar para enviar notificaciones automáticas.,آسف! يجب عليك التهيئة أولاً لإرسال إشعار الدفع.
Please configure your push notification with valid credentials.,Please configure your push notification with valid credentials.,Configure su notificación push con credenciales válidas.,يرجى تكوين إشعار الدفع الخاص بك ببيانات اعتماد صالحة.
Oops! Failed to store information.,Oops! Failed to store information.,¡Ups! No se pudo almacenar la información.,أُووبس! فشل في تخزين المعلومات.
Notification sended successfully!,Notification sended successfully!,¡Notificación enviada exitosamente!,تم إرسال الإخطار بنجاح!
The instance id field is required.,The instance id field is required.,El campo de identificación de instancia es obligatorio.,حقل معرف المثيل مطلوب.
The primary key field is required.,The primary key field is required.,El campo de clave principal es obligatorio.,حقل المفتاح الأساسي مطلوب.
Policy Link,Policy Link,Enlace de política,رابط السياسة
The status field is required.,The status field is required.,El campo de estado es obligatorio.,حقل الحالة مطلوب.
The link field is required.,The link field is required.,El campo de enlace es obligatorio.,حقل الارتباط مطلوب.
The desc field is required.,The desc field is required.,El campo desc es obligatorio.,حقل الوصف مطلوب.
Cookie information updated successfully!,Cookie information updated successfully!,¡La información de las cookies se actualizó correctamente!,تم تحديث معلومات ملفات تعريف الارتباط بنجاح!
Server Information,Server Information,Información del servidor,معلومات الخادم
App Name,App Name,Nombre de la aplicación,اسم التطبيق
App Environment,App Environment,Entorno de aplicación,بيئة التطبيق
App Debug,App Debug,Depuración de aplicaciones,تصحيح أخطاء التطبيق
App Mode,App Mode,Modo de aplicación,وضع التطبيق
Database Connection,Database Connection,Conexión de base de datos,اتصال قاعدة البيانات
Database Host,Database Host,Host de base de datos,مضيف قاعدة البيانات
Database Port,Database Port,Puerto de base de datos,منفذ قاعدة البيانات
Database Name,Database Name,Nombre de la base de datos,اسم قاعدة البيانات
Database Username,Database Username,Nombre de usuario de la base de datos,اسم مستخدم قاعدة البيانات
PHP Version,PHP Version,Versión PHP,نسخة PHP
Laravel Version,Laravel Version,Versión Laravel,نسخة لارافيل
Server Software,Server Software,Software de servidor,برامج الخادم
Server IP Address,Server IP Address,Dirección IP del servidor,عنوان IP للخادم
Server Protocol,Server Protocol,Protocolo de servidor,بروتوكول الخادم
"Cache Clear Successfully!
","Cache Clear Successfully!
","¡Borrar caché correctamente!
","تم مسح ذاكرة التخزين المؤقت بنجاح!
"
Edit Useful Link,Edit Useful Link,Editar enlace útil,تعديل الرابط المفيد
Contact Messages,Contact Messages,Mensajes de contacto,رسائل الاتصال
Reply,Reply,Responder,رد
Created At,Created At,Creado en,تم الإنشاء في
Replyed,Replyed,Respondido,تم الرد
Not Replyed,Not Replyed,No respondido,لم يتم الرد
Send Reply,Send Reply,Enviar respuesta,إرسال الرد
Write Subject,Write Subject,Escribir Asunto,كتابة الموضوع
Reply sended successfully!,Reply sended successfully!,¡Respuesta enviada exitosamente!,تم إرسال الرد بنجاح!
Website Subscribers,Website Subscribers,Suscriptores del sitio web,المشتركين في الموقع
Subscribers,Subscribers,Suscriptores,المشتركين
Send Mail to All,Send Mail to All,Enviar correo a todos,إرسال البريد للجميع
Send mail to all subscribers,Send mail to all subscribers,Enviar correo a todos los suscriptores,إرسال البريد إلى جميع المشتركين
Mail send failed! Please try again,Mail send failed! Please try again,¡Falló el envío de correo! Por favor inténtalo de nuevo,فشل إرسال البريد! يرجى المحاولة مرة أخرى
Setup Currency,Setup Currency,Configuración de moneda,عملة الإعداد
There is no default currency in your system.,There is no default currency in your system.,No hay ninguna moneda predeterminada en su sistema.,لا توجد عملة افتراضية في نظامك.
Add Currency,Add Currency,Agregar moneda,أضف العملة
Symbol,Symbol,Símbolo,رمز
Rate,Rate,Tasa,معدل
Sender,Sender,Remitente,مرسل
Receiver,Receiver,Receptor,المتلقي
currency?,currency?,¿divisa?,عملة؟
Country Flag,Country Flag,Bandera del país,علم الدولة
FIAT,FIAT,FÍAT,فيات
CRYPTO,CRYPTO,CRIPTO,تشفير
Both,Both,Ambos,كلاهما
Edit Currency,Edit Currency,Editar moneda,تحرير العملة
The type field is required.,The type field is required.,El campo tipo es obligatorio.,حقل النوع مطلوب.
The country field is required.,The country field is required.,El campo del país es obligatorio.,حقل البلد مطلوب.
The symbol field is required.,The symbol field is required.,El campo de símbolo es obligatorio.,حقل الرمز مطلوب.
The option field is required.,The option field is required.,El campo de opción es obligatorio.,حقل الخيار مطلوب.
The rate field is required.,The rate field is required.,El campo de tarifa es obligatorio.,حقل المعدل مطلوب.
Default currency make faild! Please try again.,Default currency make faild! Please try again.,¡La moneda predeterminada falló! Por favor inténtalo de nuevo.,العملة الافتراضية فشلت! يرجى المحاولة مرة أخرى.
Currency Saved Successfully!,Currency Saved Successfully!,¡Moneda guardada con éxito!,تم حفظ العملة بنجاح!
Currency status updated successfully!,Currency status updated successfully!,¡El estado de la moneda se actualizó exitosamente!,تم تحديث حالة العملة بنجاح!
The currency type is required.,The currency type is required.,El tipo de moneda es obligatorio.,نوع العملة مطلوب.
The currency country field is required.,The currency country field is required.,El campo del país de moneda es obligatorio.,حقل بلد العملة مطلوب.
The currency name field is required.,The currency name field is required.,El campo del nombre de la moneda es obligatorio.,حقل اسم العملة مطلوب.
The currency code field is required.,The currency code field is required.,El campo del código de moneda es obligatorio.,حقل رمز العملة مطلوب.
The currency symbol field is required.,The currency symbol field is required.,El campo del símbolo de moneda es obligatorio.,حقل رمز العملة مطلوب.
The currency rate field is required.,The currency rate field is required.,El campo del tipo de cambio es obligatorio.,حقل سعر العملة مطلوب.
The currency option field is required.,The currency option field is required.,El campo de opción de moneda es obligatorio.,حقل خيار العملة مطلوب.
The currency target field is required.,The currency target field is required.,El campo de moneda objetivo es obligatorio.,حقل العملة المستهدفة مطلوب.
The currency role field is required.,The currency role field is required.,El campo de rol de moneda es obligatorio.,حقل دور العملة مطلوب.
Currency not found!,Currency not found!,¡Moneda no encontrada!,لم يتم العثور على العملة!
Image file upload faild!,Image file upload faild!,¡La carga del archivo de imagen falló!,فشل تحميل ملف الصورة!
Successfully updated the information.,Successfully updated the information.,Se actualizó exitosamente la información.,تم تحديث المعلومات بنجاح.
Can\'t deletable default currency.,Can\'t deletable default currency.,No se puede eliminar la moneda predeterminada.,لا يمكن حذف العملة الافتراضية.
Currency deleted successfully!,Currency deleted successfully!,¡Moneda eliminada exitosamente!,تم حذف العملة بنجاح!
Option,Option,Opción,خيار
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والمصاريف
Support,Support,Apoyo,يدعم
Please deselect your default language first.,Please deselect your default language first.,Primero deseleccione su idioma predeterminado.,الرجاء إلغاء تحديد لغتك الافتراضية أولاً.
item?,item?,¿artículo?,غرض؟
Site Section Content,Site Section Content,Contenido de la sección del sitio,محتوى قسم الموقع
Banner Section,Banner Section,Sección de pancartas,قسم البانر
Security Section,Security Section,Sección de Seguridad,قسم الأمن
About,About,Acerca de,عن
Service,Service,Servicio,خدمة
is Proudly Powered by AppDevs,is Proudly Powered by AppDevs,está orgullosamente desarrollado por AppDevs,مدعوم بفخر بواسطة AppDevs
Enter Name,Enter Name,Introduzca el nombre,أدخل الاسم
Send Message,Send Message,Enviar mensaje,أرسل رسالة
How Its Work Section,How Its Work Section,Cómo funciona la sección,كيفية عمل القسم
Statistic Section,Statistic Section,Sección de estadística,القسم الإحصائي
Download App Section,Download App Section,Descargar sección de aplicaciones,تحميل قسم التطبيقات
Faq Section,Faq Section,Sección de preguntas frecuentes,قسم الأسئلة الشائعة
Services Section,Services Section,Sección de Servicios,قسم الخدمات
Testimonial Section,Testimonial Section,Sección de Testimonios,قسم الشهادات
Announcements,Announcements,Anuncios,إعلانات
Contact US Section,Contact US Section,Contáctenos Sección EE.UU.,اتصل بقسم الولايات المتحدة
Footer Section,Footer Section,Sección de pie de página,قسم التذييل
Login Section,Login Section,Sección de inicio de sesión,قسم تسجيل الدخول
Register Section,Register Section,Sección de Registro,قسم التسجيل
Title,Title,Título,عنوان
Heading,Heading,Título,عنوان
Sub Heading,Sub Heading,Subtítulo,العنوان الفرعي
For Separate Heading color use '|' sing to divide,For Separate Heading color use '|' sing to divide,Para color de título separado utilice '|' cantar para dividir,للحصول على لون عنوان منفصل، استخدم '|' الغناء لتقسيم
Button Name,Button Name,Nombre del botón,اسم الزر
Section updated successfully!,Section updated successfully!,¡Sección actualizada exitosamente!,تم تحديث القسم بنجاح!
Add New Security,Add New Security,Agregar nueva seguridad,إضافة أمان جديد
Section item added successfully!,Section item added successfully!,¡El artículo de la sección se agregó correctamente!,تمت إضافة عنصر القسم بنجاح!
Section item deleted successfully!,Section item deleted successfully!,¡El elemento de la sección se eliminó correctamente!,تم حذف عنصر القسم بنجاح!
Section item status updated successfully!,Section item status updated successfully!,¡El estado del elemento de la sección se actualizó exitosamente!,تم تحديث حالة عنصر القسم بنجاح!
Edit Security Item,Edit Security Item,Editar elemento de seguridad,تحرير عنصر الأمان
Icon,Icon,Icono,رمز
Add Step,Add Step,Agregar paso,أضف خطوة
Add Item,Add Item,Agregar artículo,إضافة عنصر
Edit Item,Edit Item,Editar artículo,تحرير العنصر
Counter Value,Counter Value,Valor del contador,قيمة العداد
Header,Header,Encabezamiento,رأس
Link,Link,Enlace,وصلة
Icon Image,Icon Image,Imagen del icono,صورة الرمز
Image One,Image One,Imagen uno,الصورة الأولى
Image Two,Image Two,Imagen dos,الصورة الثانية
Question,Question,Pregunta,سؤال
Answer,Answer,Respuesta,إجابة
Add FAQ,Add FAQ,Agregar preguntas frecuentes,أضف الأسئلة الشائعة
Add New Faq,Add New Faq,Agregar nuevas preguntas frecuentes,إضافة أسئلة وأجوبة جديدة
Edit Solution,Edit Solution,Editar solución,تحرير الحل
this item?,this item?,este artículo?,هذا البند؟
Add Service,Add Service,Agregar servicio,أضف الخدمة
Edit Service,Edit Service,Editar servicio,تحرير الخدمة
Designation,Designation,Designación,تعيين
Comment,Comment,Comentario,تعليق
Add Feedback,Add Feedback,Agregar comentarios,إضافة تعليقات
Update Feedback,Update Feedback,Actualizar comentarios,تحديث التعليقات
Announcement Dashboard,Announcement Dashboard,Panel de anuncios,لوحة الإعلانات
Categories,Categories,Categorías,فئات
Active Category,Active Category,Categoría activa,الفئة النشطة
Total Category,Total Category,Categoría total,الفئة الإجمالية
Total Announcement,Total Announcement,Anuncio Total,إعلان إجمالي
Active Announcement,Active Announcement,Anuncio activo,إعلان فعال
Announcement Category,Announcement Category,Categoría de anuncio,فئة الإعلان
Add Category,Add Category,Agregar categoría,أضف فئة
Category added successfully!,Category added successfully!,¡Categoría agregada exitosamente!,تمت إضافة الفئة بنجاح!
Update Category,Update Category,Actualizar categoría,تحديث الفئة
Category updated successfully!,Category updated successfully!,¡Categoría actualizada exitosamente!,تم تحديث الفئة بنجاح!
Are you sure to delete,Are you sure to delete,¿Estás seguro de eliminar?,هل أنت متأكد من الحذف
category?,category?,¿categoría?,فئة؟
Category deleted successfully!,Category deleted successfully!,¡Categoría eliminada exitosamente!,تم حذف الفئة بنجاح!
Add Announcement,Add Announcement,Agregar anuncio,إضافة إعلان
Create New Announcement,Create New Announcement,Crear nuevo anuncio,إنشاء إعلان جديد
Announcement Edit,Announcement Edit,Anuncio Editar,تحرير الإعلان
Are you sure to delete this announcement?,Are you sure to delete this announcement?,¿Estás seguro de eliminar este anuncio?,هل أنت متأكد من حذف هذا الإعلان؟
Social Links,Social Links,Enlaces sociales,الروابط الاجتماعية
Announcement updated successfully!,Announcement updated successfully!,¡Anuncio actualizado exitosamente!,تم تحديث الإعلان بنجاح!
Announcement does\'t exists!,Announcement does\'t exists!,¡El anuncio no existe!,الإعلان غير موجود!
Announcement deleted successfully!,Announcement deleted successfully!,¡Anuncio eliminado exitosamente!,تم حذف الإعلان بنجاح!
Announcement status updated successfully!,Announcement status updated successfully!,¡El estado del anuncio se actualizó exitosamente!,تم تحديث حالة الإعلان بنجاح!
Announcement created successfully!,Announcement created successfully!,¡Anuncio creado exitosamente!,تم إنشاء الإعلان بنجاح!
Category status updated successfully!,Category status updated successfully!,¡El estado de la categoría se actualizó exitosamente!,تم تحديث حالة الفئة بنجاح!
About Us Section,About Us Section,Sección Acerca de nosotros,قسم عنا
Announcement Section,Announcement Section,Sección de anuncios,قسم الإعلان
Information updated successfully.,Information updated successfully.,Información actualizada exitosamente.,تم تحديث المعلومات بنجاح.
Logo,Logo,Logo,الشعار
Transactions & Logs,Transactions & Logs,Transacciones y registros,المعاملات والسجلات
Pending Logs,Pending Logs,Registros pendientes,السجلات المعلقة
Confirm Logs,Confirm Logs,Confirmar registros,تأكيد السجلات
Rejected Logs,Rejected Logs,Registros rechazados,السجلات المرفوضة
All Logs,All Logs,Todos los registros,جميع السجلات
Transaction ID,Transaction ID,ID de transacción,معرف المعاملة
Sender Information,Sender Information,Información del remitente,معلومات المرسل
Card Information,Card Information,Información de la tarjeta,معلومات البطاقة
Card Name,Card Name,Nombre de la tarjeta,اسم البطاقة
Transaction Device Information,Transaction Device Information,Información del dispositivo de transacción,معلومات جهاز المعاملة
Payment Summary,Payment Summary,Resumen de pago,ملخص الدفع
Total Charge,Total Charge,Cargo Total,إجمالي الرسوم
Payable Amount,Payable Amount,Monto a pagar,المبلغ المستحق
Payment Status,Payment Status,Estado de pago,حالة الدفع
Are you sure to confirm this transaction?,Are you sure to confirm this transaction?,¿Estás seguro de confirmar esta transacción?,هل أنت متأكد من تأكيد هذه الصفقة؟
Transaction Status updated successfully,Transaction Status updated successfully,Estado de la transacción actualizado exitosamente,تم تحديث حالة المعاملة بنجاح
Transaction Rejected successfully,Transaction Rejected successfully,Transacción rechazada exitosamente,تم رفض المعاملة بنجاح
Total Save Cards,Total Save Cards,Total de tarjetas guardadas,إجمالي بطاقات الحفظ
Publishable Key,Publishable Key,Clave publicable,مفتاح قابل للنشر
My Wallet,My Wallet,Mi billetera,محفظتي
Payments Chart,Payments Chart,Cuadro de pagos,مخطط المدفوعات
Total Transactions,Total Transactions,Transacciones totales,إجمالي المعاملات
Transactions Overview,Transactions Overview,Resumen de transacciones,نظرة عامة على المعاملات
Latest Payments,Latest Payments,Últimos pagos,أحدث المدفوعات
Transaction Number,Transaction Number,Número de transacción,رقم المعاملة
Transaction Logs,Transaction Logs,Registros de transacciones,سجلات المعاملات
Your Order,Your Order,Tu pedido,طلبك
Successfully placed.,Successfully placed.,Colocado con éxito.,تم وضعها بنجاح.
Ex: Trasaction Number,Ex: Trasaction Number,Ej: número de transacción,على سبيل المثال: رقم المعاملة
Ex: Payments,Ex: Payments,Ej: Pagos,على سبيل المثال: المدفوعات
Transfer Money Logs,Transfer Money Logs,Transferir registros de dinero,تحويل سجلات الأموال
Add Money Logs,Add Money Logs,Agregar registros de dinero,إضافة سجلات الأموال
Test Logs,Test Logs,Registros de prueba,سجلات الاختبار
Payment Type,Payment Type,Tipo de pago,نوع الدفع
Payment Log Details,Payment Log Details,Detalles del registro de pagos,تفاصيل سجل الدفع
Confirmed,Confirmed,Confirmado,مؤكد
Total Users,Total Users,Usuarios totales,إجمالي المستخدمين
Total Support Ticket,Total Support Ticket,Ticket de soporte total,إجمالي تذكرة الدعم
Add Money,Add Money,Agregar dinero,أضف المال
Success,Success,Éxito,نجاح
Transfer Money,Transfer Money,Transferir dinero,تحويل الأموال
Total Card Payments,Total Card Payments,Pagos totales con tarjeta,إجمالي مدفوعات البطاقة
Automatic,Automatic,Automático,تلقائي
Manual,Manual,Manual,يدوي
Transaction Analytics,Transaction Analytics,Análisis de transacciones,تحليلات المعاملات
User Analytics Chart,User Analytics Chart,Gráfico de análisis de usuario,مخطط تحليلات المستخدم
ALL,ALL,TODO,الجميع
Card Method Charges,Card Method Charges,Cargos por método de tarjeta,رسوم طريقة البطاقة
Charges,Charges,Cargos,رسوم
Fixed Charge,Fixed Charge,Cargo fijo,تهمة ثابتة
Percent Charge,Percent Charge,Cargo porcentual,تهمة في المئة
Range,Range,Rango,يتراوح
Minimum Amount,Minimum Amount,Cantidad Mínima,الحد الأدنى للمبلغ
Maximum Amount,Maximum Amount,Monto Máximo,الحد الأقصى للمبلغ
Transfer Money Charges,Transfer Money Charges,Cargos por transferencia de dinero,رسوم تحويل الأموال
Charge Updated Successfully!,Charge Updated Successfully!,¡Carga actualizada exitosamente!,تم تحديث الشحن بنجاح!
S. Email,S. Email,S. correo electrónico,س. البريد الإلكتروني
Receiver Information,Receiver Information,Información del receptor,معلومات المتلقي
Reject Logs,Reject Logs,Rechazar registros,رفض السجلات
Payment Gateway,Payment Gateway,Pasarela de pago,بوابة الدفع
Add Money Log Details,Add Money Log Details,Agregar detalles del registro de dinero,إضافة تفاصيل سجل الأموال
Transfer Money Log Details,Transfer Money Log Details,Detalles del registro de transferencia de dinero,تفاصيل سجل تحويل الأموال
Payment Proof Information,Payment Proof Information,Información de prueba de pago,معلومات إثبات الدفع
Screenshot,Screenshot,Captura de pantalla,لقطة الشاشة
Transaction_id,Transaction_id,ID_transacción,معرف_المعاملة
Wallet Balance,Wallet Balance,Saldo de billetera,رصيد المحفظة
Choose Us Section,Choose Us Section,Elíjanos Sección,اختر قسمنا
Subscribe Section,Subscribe Section,Sección de suscripción,قسم الاشتراك
Save Cards Section,Save Cards Section,Sección de guardar tarjetas,قسم حفظ البطاقات
Transfer Money Section,Transfer Money Section,Sección de transferencia de dinero,قسم تحويل الأموال
Payments Section,Payments Section,Sección de Pagos,قسم المدفوعات
Accept Payment Section,Accept Payment Section,Aceptar sección de pago,قبول قسم الدفع
Counter Title 1,Counter Title 1,Título del contador 1,عنوان العداد 1
Counter Title Value 1,Counter Title Value 1,Valor del título del contador 1,قيمة عنوان العداد 1
Counter Title 2,Counter Title 2,Título del contador 2,عنوان العداد 2
